RK_x,Player Name,Club1,Club2,Club3,POS_x,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,REB,AST,STL,BLK,TO,DD2,TD3,PER,RK_y,NAME,POS_y,TEAM,SALARY
1,James Harden,HOU,,,SG,72,35.4,30.4,9,20.1,44.9,3.7,10,36.7,8.7,10.1,85.8,5.4,8.8,1.8,0.7,4.4,31,4,29.87,8,James Harden,SG,Houston Rockets,"$28,299,399.00"
2,Anthony Davis,NO,,,PF,75,36.4,28.1,10.4,19.5,53.4,0.7,2.2,34,6.6,8,82.8,11.1,2.3,1.5,2.6,2.2,50,1,28.98,25,Anthony Davis,PF,New Orleans Pelicans,"$23,775,506.00"
3,LeBron James,CLE,,,SF,82,36.9,27.5,10.5,19.3,54.2,1.8,5,36.7,4.7,6.5,73.1,8.6,9.1,1.4,0.9,4.2,52,18,28.65,,LeBron James,SF,Cleveland Cavaliers,"$33,285,709.00"
4,Damian Lillard,POR,,,PG,73,36.6,26.9,8.5,19.4,43.9,3.1,8.6,36.1,6.8,7.4,91.6,4.5,6.6,1.1,0.4,2.8,11,0,25.19,12,Damian Lillard,PG,Portland Trail Blazers,"$26,153,057.00"
5,Giannis Antetokounmpo,MIL,,,PF,75,36.7,26.9,9.9,18.7,52.9,0.6,1.9,30.7,6.5,8.5,76,10,4.8,1.5,1.4,3,42,1,27.37,20,Giannis Antetokounmpo,PF,Milwaukee Bucks,"$24,157,303.00"
6,Stephen Curry,GS,,,PG,51,32,26.4,8.4,16.9,49.5,4.2,9.8,42.3,5.5,5.9,92.1,5.1,6.1,1.6,0.2,3,5,0,28.32,1,Stephen Curry,PG,Golden State Warriors,"$37,457,154.00"
7,Kevin Durant,GS,,,PF,68,34.2,26.4,9.3,18,51.6,2.5,6.1,41.9,5.3,5.9,88.9,6.8,5.4,0.7,1.8,3,15,2,26.05,,Kevin Durant,PF,Golden State Warriors,"$25,000,000.00"
8,Russell Westbrook,OKC,,,PG,80,36.4,25.4,9.5,21.1,44.9,1.2,4.1,29.8,5.2,7.1,73.7,10.1,10.3,1.8,0.3,4.8,59,25,24.8,7,Russell Westbrook,PG,Oklahoma City Thunder,"$28,530,608.00"
9,DeMarcus Cousins,NO,,,C,48,36.2,25.2,8.5,18,47,2.2,6.1,35.4,6.1,8.2,74.6,12.9,5.4,1.6,1.6,5,38,3,22.66,51,DeMarcus Cousins,C,New Orleans Pelicans,"$18,063,850.00"
10,Devin Booker,PHX,,,SG,54,34.5,24.9,8.4,19.5,43.2,2.7,7.1,38.3,5.4,6.1,87.8,4.5,4.7,0.9,0.3,3.6,4,0,18.12,286,Devin Booker,SG,Phoenix Suns,"$2,319,360.00"
11,Kyrie Irving,BOS,,,PG,60,32.2,24.4,8.9,18.1,49.1,2.8,6.8,40.8,3.9,4.4,88.9,3.8,5.1,1.1,0.3,2.3,1,0,25.03,44,Kyrie Irving,PG,Boston Celtics,"$18,868,626.00"
12,Victor Oladipo,IND,,,SG,75,34,23.1,8.5,17.9,47.7,2.1,5.8,37.1,3.9,4.9,79.9,5.2,4.3,2.4,0.8,2.9,3,0,23.12,35,Victor Oladipo,SG,Indiana Pacers,"$21,000,000.00"
12,LaMarcus Aldridge,SA,,,C,75,33.5,23.1,9.2,18,51,0.4,1.2,29.3,4.5,5.3,83.7,8.5,2,0.6,1.2,1.5,27,0,25.12,34,LaMarcus Aldridge,C,San Antonio Spurs,"$21,461,010.00"
14,DeMar DeRozan,TOR,,,SF,80,33.9,23,8.1,17.7,45.6,1.1,3.6,31,5.8,7,82.5,3.9,5.2,1.1,0.3,2.2,0,0,21.1,9,DeMar DeRozan,SF,Toronto Raptors,"$27,739,975.00"
15,Joel Embiid,PHI,,,C,63,30.3,22.9,8.1,16.8,48.3,1,3.4,30.8,5.7,7.4,76.9,11,3.2,0.6,1.8,3.7,38,0,22.95,18,Joel Embiid,C,Philadelphia 76ers,"$25,250,000.00"
16,Kristaps Porzingis,NY,,,C,48,32.4,22.7,8.1,18.5,43.9,1.9,4.8,39.5,4.5,5.7,79.3,6.6,1.2,0.8,2.4,1.9,5,0,20.42,184,Kristaps Porzingis,C,New York Knicks,"$5,697,054.00"
