RK_x,Player Name,Club1,Club2,Club3,POS_x,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,REB,AST,STL,BLK,TO,DD2,TD3,PER,RK_y,NAME,POS_y,TEAM,SALARY
1,Kevin Durant,OKC,,,PF,81,38.5,32,10.5,20.8,50.3,2.4,6.1,39.1,8.7,9.9,87.3,7.4,5.5,1.3,0.7,3.5,27,3,29.9,15,Kevin Durant,PF,Oklahoma City Thunder,"$17,832,627 "
2,Carmelo Anthony,NY,,,PF,77,38.7,27.4,9.6,21.3,45.2,2.2,5.4,40.2,6,7,84.8,8.1,3.1,1.2,0.7,2.6,22,0,24.5,5,Carmelo Anthony,PF,New York Knicks,"$21,388,953 "
3,LeBron James,MIA,,,SF,77,37.7,27.1,10,17.6,56.7,1.5,4,37.9,5.7,7.6,75,6.9,6.4,1.6,0.3,3.5,12,1,29.4,9,LeBron James,SF,Miami Heat,"$19,067,500 "
4,Kevin Love,MIN,,,PF,77,36.3,26.1,8.4,18.5,45.7,2.5,6.6,37.6,6.8,8.2,82.1,12.5,4.4,0.8,0.5,2.5,65,3,26.97,24,Kevin Love,PF,Minnesota Timberwolves,"$14,693,906 "
5,James Harden,HOU,,,SG,73,38,25.4,7.5,16.5,45.6,2.4,6.6,36.6,7.9,9.1,86.6,4.7,6.1,1.6,0.4,3.6,14,1,23.51,32,James Harden,SG,Houston Rockets,"$13,701,250 "
6,Blake Griffin,LAC,,,PF,80,35.8,24.1,9,17,52.8,0.2,0.6,27.3,6,8.4,71.5,9.5,3.9,1.2,0.6,2.8,43,1,23.98,17,Blake Griffin,PF,LA Clippers,"$16,441,500 "
7,Stephen Curry,GS,,,PG,78,36.5,24,8.4,17.7,47.1,3.3,7.9,42.4,3.9,4.5,88.5,4.3,8.5,1.6,0.2,3.8,28,4,24.13,57,Stephen Curry,PG,Golden State Warriors,"$9,887,642 "
8,LaMarcus Aldridge,POR,,,C,69,36.2,23.2,9.4,20.6,45.8,0,0.2,20,4.3,5.2,82.2,11.1,2.6,0.9,1,1.8,40,0,21.84,20,LaMarcus Aldridge,C,Portland Trail Blazers,"$14,878,000 "
9,DeMarcus Cousins,SAC,,,C,71,32.4,22.7,8.3,16.8,49.6,0,0.1,0,6.1,8.4,72.6,11.7,2.9,1.5,1.3,3.5,53,0,26.18,129,DeMarcus Cousins,C,Sacramento Kings,"$4,916,974 "
10,DeMar DeRozan,TOR,,,SF,79,38.2,22.7,7.6,17.8,42.9,0.8,2.7,30.5,6.6,8,82.4,4.3,4,1.1,0.4,2.2,2,0,18.42,60,DeMar DeRozan,SF,Toronto Raptors,"$9,500,000 "
