RK_x,Player Name,Club1,Club2,Club3,POS_x,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,REB,AST,STL,BLK,TO,DD2,TD3,PER,RK_y,NAME,POS_y,TEAM,SALARY
90,Eric Gordon,HOU,,,SG,36,28.2,14.4,4.8,12.9,36.9,2.7,8.4,31.7,2.3,3,76.6,2,1.5,0.6,0.4,1.2,0,0,10.31,88,Eric Gordon,SG,Houston Rockets,"$14,057,730 "
91,Aaron Gordon,ORL,,,PF,62,32.5,14.4,5.4,12.4,43.7,1.2,3.8,30.8,2.4,3.6,67.4,7.7,3.7,0.8,0.6,1.6,20,1,15.18,54,Aaron Gordon,PF,Orlando Magic,"$19,863,636 "
92,Mike Conley,UTAH,,,PG,47,29,14.4,4.9,12.1,40.9,2,5.4,37.5,2.4,3,82.7,3.2,4.4,0.8,0.1,2,0,0,14.19,16,Mike Conley,PG,Utah Jazz,"$32,511,624 "
93,RJ Barrett,NY,,,SG,56,30.4,14.3,5.2,13,40.2,1.1,3.5,32,2.8,4.5,61.4,5,2.6,1,0.3,2.2,2,0,10.76,158,RJ Barrett,SG,New York Knicks,"$7,839,960 "
94,Marvin Bagley III,SAC,,,PF,13,25.7,14.2,6,12.8,46.7,0.3,1.7,18.2,1.9,2.4,80.6,7.5,0.8,0.5,0.9,1.4,3,0,15.68,146,Marvin Bagley III,PF,Sacramento Kings,"$8,556,120 "
95,Jabari Parker,ATL,SAC,,PF,38,24.1,14,5.8,11.3,51,0.8,3.1,26.9,1.6,2.1,75.3,5.6,1.8,1.2,0.4,1.7,2,0,18.08,179,Jabari Parker,PF,Sacramento Kings,"$6,500,000 "
96,Eric Paschall,GS,,,PF,60,27.6,14,5.3,10.7,49.7,0.6,2.2,28.7,2.7,3.5,77.4,4.6,2.1,0.5,0.2,1.6,4,0,14.53,483,Eric Paschall,PF,Golden State Warriors,"$898,310 "
97,Clint Capela,ATL,HOU,,C,39,32.8,13.9,6.3,9.9,62.9,0,0,0,1.4,2.7,52.9,13.8,1.2,0.8,1.8,1.6,27,0,20.63,83,Clint Capela,C,Houston Rockets,"$14,896,552 "
98,Josh Richardson,PHI,,,SG,55,30.8,13.7,5.1,11.7,43,1.5,4.5,34.1,2.1,2.6,80.9,3.2,2.9,0.9,0.7,1.9,0,0,12.02,124,Josh Richardson,SG,Philadelphia 76ers,"$10,116,576 "
99,Rui Hachimura,WSH,,,PF,48,30.1,13.5,5.3,11.4,46.6,0.5,1.8,28.7,2.4,2.9,82.9,6.1,1.8,0.8,0.2,1.1,3,0,13.56,221,Rui Hachimura,PF,Washington Wizards,"$4,469,160 "
100,Tyler Herro,MIA,,,PG,55,27.4,13.5,4.9,11.5,42.8,2.1,5.4,38.9,1.6,1.8,87,4.1,2.2,0.6,0.2,1.6,1,0,12.53,243,Tyler Herro,PG,Miami Heat,"$3,640,200 "
101,Duncan Robinson,MIA,,,SG,73,29.7,13.5,4.4,9.4,47,3.7,8.3,44.6,0.9,1,93.1,3.2,1.4,0.5,0.3,1,1,0,13.12,442,Duncan Robinson,SG,Miami Heat,"$1,416,852 "
102,Thomas Bryant,WSH,,,C,46,24.9,13.2,5.3,9.1,58.1,0.8,2,40.7,1.9,2.5,74.1,7.2,1.8,0.5,1.1,1.2,11,0,21.16,153,Thomas Bryant,C,Washington Wizards,"$8,000,000 "
103,Coby White,CHI,,,PG,65,25.8,13.2,4.8,12.2,39.4,2,5.8,35.4,1.6,2,79.1,3.5,2.7,0.8,0.1,1.7,0,0,11.92,199,Coby White,PG,Chicago Bulls,"$5,307,120 "
104,Christian Wood,DET,,,C,62,21.4,13.1,4.6,8.2,56.7,0.9,2.3,38.6,2.9,3.9,74.4,6.3,1,0.5,0.9,1.4,12,0,23.22,358,Christian Wood,C,Detroit Pistons,"$1,645,357 "
105,Ricky Rubio,PHX,,,PG,65,31,13,4.4,10.6,41.5,1.2,3.3,36.1,3,3.5,86.3,4.7,8.8,1.4,0.2,2.7,22,2,16.53,73,Ricky Rubio,PG,Phoenix Suns,"$16,200,000 "
106,Miles Bridges,CHA,,,SF,65,30.7,13,4.9,11.6,42.4,1.5,4.6,33,1.6,2,80.9,5.6,1.8,0.6,0.7,1.5,4,0,12.19,241,Miles Bridges,SF,Charlotte Hornets,"$3,755,400 "
107,Marcus Smart,BOS,,,PG,60,32,12.9,4.3,11.4,37.5,2.3,6.6,34.7,2.1,2.5,83.6,3.8,4.9,1.7,0.5,1.7,3,0,13.78,102,Marcus Smart,PG,Boston Celtics,"$12,553,571 "
108,Kyle Kuzma,LAL,,,SF,61,25,12.8,4.8,11,43.6,1.4,4.5,31.6,1.9,2.5,73.5,4.5,1.3,0.5,0.4,1.5,2,0,12.25,330,Kyle Kuzma,SF,Los Angeles Lakers,"$1,974,600 "
109,Damion Lee,GS,,,SG,49,29,12.7,4.3,10.4,41.7,1.7,4.9,35.6,2.2,2.6,87.3,4.9,2.7,1,0.1,1.4,3,0,12.75,501,Damion Lee,SG,Golden State Warriors,"$842,327 "
110,Jeremy Lamb,IND,,,SG,46,28.1,12.5,4.7,10.4,45.1,1.2,3.4,33.5,2,2.4,83.6,4.3,2.1,1.2,0.5,1.1,2,0,14.05,122,Jeremy Lamb,SG,Indiana Pacers,"$10,500,000 "
111,Robert Covington,MIN,HOU,,PF,70,30.5,12.4,4.4,10.3,42.2,2.3,6.9,33.5,1.4,1.8,79.8,6.6,1.3,1.6,1.3,1.5,7,0,13.38,115,Robert Covington,PF,Houston Rockets,"$11,301,219 "
112,Seth Curry,DAL,,,SG,64,24.6,12.4,4.4,9,49.5,2.3,5,45.2,1.3,1.5,82.5,2.3,1.9,0.6,0.1,1,0,0,15.59,164,Seth Curry,SG,Dallas Mavericks,"$7,461,380 "
113,De'Andre Hunter,ATL,,,SF,63,32,12.3,4.4,10.8,41,1.7,4.8,35.5,1.7,2.3,76.4,4.5,1.8,0.7,0.3,1.6,3,0,8.66,171,De'Andre Hunter,SF,Atlanta Hawks,"$7,068,360 "
114,Darius Garland,CLE,,,PG,59,30.9,12.3,4.7,11.8,40.1,1.8,5,35.5,1.1,1.2,87.5,1.9,3.9,0.7,0.1,2.6,1,0,8.54,181,Darius Garland,PG,Cleveland Cavaliers,"$6,400,920 "
115,Richaun Holmes,SAC,,,C,44,28.2,12.3,5.1,7.8,64.8,0,0,0,2.1,2.7,78.8,8.1,1,0.9,1.3,1.2,13,0,19.75,210,Richaun Holmes,C,Sacramento Kings,"$4,767,000 "
116,P.J. Washington,CHA,,,PF,58,30.3,12.2,4.6,10.2,45.5,1.5,4,37.4,1.5,2.3,64.7,5.4,2.1,0.9,0.8,1.6,4,0,12.48,239,P.J. Washington,PF,Charlotte Hornets,"$3,831,840 "
117,Kevin Huerter,ATL,,,SG,56,31.4,12.2,4.5,10.9,41.3,2.3,6,38,0.9,1.1,82.8,4.1,3.8,0.9,0.5,1.6,2,0,11.57,283,Kevin Huerter,SG,Atlanta Hawks,"$2,636,280 "
118,Isaiah Thomas,LAC,WSH,,G,40,23.1,12.2,4.4,10.7,40.8,2,4.7,41.3,1.6,1.9,81.6,1.7,3.7,0.3,0.2,1.9,1,0,11.68,361,Isaiah Thomas,G,Washington Wizards,"$1,620,564 "
119,Markelle Fultz,ORL,,,PG,72,27.7,12.1,5,10.7,46.5,0.5,1.9,26.7,1.6,2.2,73,3.3,5.1,1.3,0.2,2,4,1,14.35,130,Markelle Fultz,PG,Orlando Magic,"$9,745,200 "
120,Myles Turner,IND,,,C,62,29.5,12.1,4.3,9.5,45.7,1.4,4,34.4,2,2.7,75.1,6.6,1.2,0.7,2.1,1.4,9,0,14.87,64,Myles Turner,C,Indiana Pacers,"$18,000,000 "
121,Taurean Prince,BKN,,,PF,64,29,12.1,4.3,11.5,37.6,2.3,6.7,33.9,1.1,1.4,79.8,6,1.8,0.9,0.4,2,8,0,9.19,257,Taurean Prince,PF,Brooklyn Nets,"$3,481,986 "
122,Brandon Clarke,MEM,,,PF,58,22.4,12.1,5.1,8.3,61.8,0.4,1.1,35.9,1.5,1.9,75.9,5.9,1.4,0.6,0.8,0.9,3,0,20.97,296,Brandon Clarke,PF,Memphis Grizzlies,"$2,478,840 "
123,Tristan Thompson,CLE,,,C,57,30.2,12,5.1,9.9,51.2,0.2,0.4,39.1,1.7,2.8,61.5,10.1,2.1,0.6,0.9,1.8,25,0,16.82,61,Tristan Thompson,C,Cleveland Cavaliers,"$18,539,130 "
124,Jerami Grant,DEN,,,SF,71,26.6,12,4.3,8.9,47.8,1.4,3.5,38.9,2.1,2.8,75,3.5,1.2,0.7,0.8,0.9,0,0,14.46,137,Jerami Grant,SF,Denver Nuggets,"$9,346,153 "
125,Brook Lopez,MIL,,,C,68,26.7,12,4.3,9.9,43.5,1.5,4.8,31.4,1.9,2.2,83.6,4.6,1.5,0.7,2.4,1,4,0,15.02,110,Brook Lopez,C,Milwaukee Bucks,"$12,093,023 "
126,Reggie Jackson,LAC,DET,,PG,31,24,11.9,4.3,10.5,41.1,1.8,4.7,39.3,1.5,1.7,83.3,3,4.1,0.4,0.2,1.6,1,0,13.76,512,Reggie Jackson,PG,LA Clippers,"$512,721 "
127,Al Horford,PHI,,,C,67,30.2,11.9,4.8,10.6,45,1.5,4.2,35,0.9,1.2,76.3,6.8,4,0.8,0.9,1.2,6,0,15.74,24,Al Horford,C,Philadelphia 76ers,"$28,000,000 "
128,Jonathan Isaac,ORL,,,PF,34,28.8,11.9,4.6,9.8,47,0.9,2.8,34,1.8,2.3,77.9,6.8,1.4,1.6,2.3,1.4,5,0,17.31,190,Jonathan Isaac,PF,Orlando Magic,"$5,806,440 "
129,Lonzo Ball,NO,,,PG,63,32.1,11.8,4.4,10.9,40.3,2.3,6.3,37.5,0.7,1.2,56.6,6.1,7,1.4,0.6,3.1,12,3,13.17,144,Lonzo Ball,PG,New Orleans Pelicans,"$8,719,320 "
130,Glenn Robinson III,GS,PHI,,F,62,28.8,11.7,4.6,9.5,48.6,1.2,3.2,39.1,1.2,1.4,86,4.4,1.5,0.9,0.3,0.9,1,0,13.4,,Glenn Robinson III,F,Golden State Warriors,"1,138,230"
131,Patty Mills,SA,,,PG,66,22.5,11.6,3.9,9.1,43.1,2.3,6.1,38.2,1.5,1.7,86.6,1.6,1.8,0.8,0.1,0.8,0,0,14.82,106,Patty Mills,PG,San Antonio Spurs,"$12,428,571 "
132,Paul Millsap,DEN,,,PF,51,24.3,11.6,4.1,8.6,48.2,1.1,2.4,43.5,2.3,2.8,81.6,5.7,1.6,0.9,0.6,1.4,5,0,16.96,20,Paul Millsap,PF,Denver Nuggets,"$30,350,000 "
133,Nemanja Bjelica,SAC,,,PF,72,27.9,11.5,4.4,9.1,48.1,1.9,4.4,41.9,1,1.2,82.1,6.4,2.8,0.9,0.6,1.4,10,0,15.77,177,Nemanja Bjelica,PF,Sacramento Kings,"$6,825,000 "
