RK_x,Player Name,Club1,Club2,Club3,POS_x,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,REB,AST,STL,BLK,TO,DD2,TD3,PER,RK_y,NAME,POS_y,TEAM,SALARY
1,Russell Westbrook,OKC,,,PG,67,34.4,28.1,9.4,22,42.6,1.3,4.3,29.9,8.1,9.8,83.5,7.3,8.6,2.1,0.2,4.4,31,11,29.12,19,Russell Westbrook,PG,Oklahoma City Thunder,"$15,719,062 "
2,James Harden,HOU,,,SG,81,36.8,27.4,8,18.1,44,2.6,6.9,37.5,8.8,10.2,86.8,5.7,7,1.9,0.7,4,21,4,26.76,28,James Harden,SG,Houston Rockets,"$14,728,844 "
3,Kevin Durant,OKC,,,PF,27,33.8,25.4,8.8,17.3,51,2.4,5.9,40.3,5.4,6.3,85.4,6.6,4.1,0.9,0.9,2.7,5,0,27.65,10,Kevin Durant,PF,Oklahoma City Thunder,"$18,995,624 "
4,LeBron James,CLE,,,SF,69,36.1,25.3,9,18.5,48.8,1.7,4.9,35.4,5.4,7.7,71,6,7.4,1.6,0.7,3.9,22,2,26.01,6,LeBron James,SF,Cleveland Cavaliers,"$20,644,400 "
5,Anthony Davis,NO,,,PF,68,36.1,24.4,9.4,17.6,53.5,0,0.2,8.3,5.5,6.8,80.5,10.2,2.2,1.5,2.9,1.4,42,0,30.89,117,Anthony Davis,PF,New Orleans Pelicans,"$5,607,240 "
6,Carmelo Anthony,NY,,,PF,40,35.7,24.2,9,20.2,44.4,1.5,4.5,34.1,4.7,5.9,79.7,6.6,3.1,1,0.4,2.2,5,0,21.58,3,Carmelo Anthony,PF,New York Knicks,"$22,458,401 "
7,DeMarcus Cousins,SAC,,,C,59,34.1,24.1,8.4,18.1,46.7,0,0.1,25,7.2,9.2,78.2,12.7,3.6,1.5,1.7,4.3,47,2,25.29,27,DeMarcus Cousins,C,Sacramento Kings,"$14,746,000 "
8,Stephen Curry,GS,,,PG,80,32.7,23.8,8.2,16.8,48.7,3.6,8.1,44.3,3.9,4.2,91.4,4.3,7.7,2,0.2,3.1,23,0,28.06,53,Stephen Curry,PG,Golden State Warriors,"$10,629,213 "
9,LaMarcus Aldridge,POR,,,C,71,35.4,23.4,9.3,19.9,46.6,0.5,1.5,35.2,4.3,5.1,84.5,10.2,1.7,0.7,1,1.7,39,0,22.85,14,LaMarcus Aldridge,C,Portland Trail Blazers,"$16,006,000 "
10,Kobe Bryant,LAL,,,SF,35,34.5,22.3,7.6,20.4,37.3,1.5,5.3,29.3,5.6,6.9,81.3,5.7,5.6,1.3,0.2,3.7,4,2,17.69,1,Kobe Bryant,SF,Los Angeles Lakers,"$23,500,000 "
11,Blake Griffin,LAC,,,PF,67,35.2,21.9,8.6,17.1,50.2,0.1,0.4,40,4.6,6.4,72.8,7.6,5.3,0.9,0.5,2.3,18,0,22.86,12,Blake Griffin,PF,LA Clippers,"$17,674,613 "
12,Kyrie Irving,CLE,,,PG,75,36.4,21.7,7.7,16.5,46.8,2.1,5,41.5,4.2,4.9,86.3,3.2,5.2,1.5,0.3,2.5,6,0,21.57,92,Kyrie Irving,PG,Cleveland Cavaliers,"$7,070,730 "
13,Klay Thompson,GS,,,SG,77,31.9,21.7,7.8,16.9,46.3,3.1,7.1,43.9,2.9,3.3,87.9,3.2,2.9,1.1,0.8,1.9,1,0,20.86,207,Klay Thompson,SG,Golden State Warriors,"$3,075,880 "
14,Dwyane Wade,MIA,,,G,62,31.8,21.5,8.2,17.5,47,0.5,1.6,28.4,4.6,6,76.8,3.5,4.8,1.2,0.3,3.4,3,0,21.44,21,Dwyane Wade,G,Miami Heat,"$15,000,000 "
15,Chris Bosh,MIA,,,PF,44,35.4,21.1,7.8,16.9,46,1.4,3.8,37.5,4.1,5.3,77.2,7,2.2,0.9,0.6,2.2,7,0,19.87,5,Chris Bosh,PF,Miami Heat,"$20,644,400 "
16,Rudy Gay,SAC,,,SF,68,35.4,21.1,7.5,16.4,45.5,1.2,3.2,35.9,5,5.8,85.8,5.9,3.7,1,0.6,2.7,2,0,19.76,9,Rudy Gay,SF,Sacramento Kings,"$19,317,326 "
17,Damian Lillard,POR,,,PG,82,35.7,21,7.2,16.6,43.4,2.4,7,34.3,4.2,4.9,86.4,4.6,6.2,1.2,0.3,2.7,6,0,20.79,188,Damian Lillard,PG,Portland Trail Blazers,"$3,340,920 "
18,DeMar DeRozan,TOR,,,SF,60,35,20.1,6.8,16.5,41.3,0.4,1.5,28.4,6,7.2,83.2,4.6,3.5,1.2,0.2,2.3,4,0,17.46,57,DeMar DeRozan,SF,Toronto Raptors,"$10,100,000 "
19,Jimmy Butler,CHI,,,SF,65,38.7,20,6.5,14,46.2,1.1,3,37.8,5.9,7.1,83.4,5.8,3.3,1.8,0.6,1.4,4,0,21.32,268,Jimmy Butler,SF,Chicago Bulls,"$2,008,748 "
20,Kevin Martin,MIN,,,SG,39,33.4,20,6.8,16,42.7,1.9,4.9,39.3,4.4,4.9,88.1,3.6,2.3,0.8,0,1.9,0,0,16.73,97,Kevin Martin,SG,Minnesota Timberwolves,"$6,792,500 "
21,Nikola Vucevic,ORL,,,C,74,34.2,19.3,8.5,16.3,52.3,0,0.1,33.3,2.2,2.9,75.2,10.9,2,0.7,0.7,2,45,0,21.62,227,Nikola Vucevic,C,Orlando Magic,"$2,751,260 "
22,Gordon Hayward,UTAH,,,SF,76,34.4,19.3,6.4,14.3,44.5,1.6,4.3,36.4,4.9,6.1,81.2,4.9,4.1,1.4,0.4,2.7,2,0,20.24,25,Gordon Hayward,SF,Utah Jazz,"$14,746,000 "
23,Chris Paul,LAC,,,PG,82,34.8,19.1,6.9,14.3,48.5,1.7,4.3,39.8,3.5,3.9,90,4.6,10.2,1.9,0.2,2.3,40,1,26.04,7,Chris Paul,PG,LA Clippers,"$20,068,563 "
24,Monta Ellis,DAL,,,SG,80,33.7,18.9,7.5,16.9,44.5,1,3.6,28.5,2.9,3.8,75.2,2.4,4.1,1.9,0.3,2.5,3,0,16.59,75,Monta Ellis,SG,Dallas Mavericks,"$8,360,000 "
25,Pau Gasol,CHI,,,PF,78,34.4,18.5,7.3,14.8,49.4,0.2,0.3,46.2,3.8,4.7,80.3,11.8,2.7,0.3,1.9,2,54,0,22.73,90,Pau Gasol,PF,Chicago Bulls,"$7,128,000 "
26,Victor Oladipo,ORL,,,SG,72,35.7,17.9,6.6,15.1,43.6,1.2,3.4,33.9,3.6,4.4,81.9,4.2,4.1,1.7,0.3,2.8,3,0,15.98,140,Victor Oladipo,SG,Orlando Magic,"$4,978,200 "
27,Kyle Lowry,TOR,,,PG,70,34.5,17.8,6.1,14.9,41.2,1.9,5.6,33.8,3.6,4.5,80.8,4.7,6.8,1.6,0.2,2.5,13,2,19.33,42,Kyle Lowry,PG,Toronto Raptors,"$12,000,000 "
28,Derrick Rose,CHI,,,PG,51,30,17.7,6.6,16.4,40.5,1.5,5.3,28,3,3.7,81.3,3.2,4.9,0.7,0.3,3.2,4,0,15.94,11,Derrick Rose,PG,Chicago Bulls,"$18,862,876 "
29,John Wall,WSH,,,PG,79,35.9,17.6,6.6,14.8,44.5,0.8,2.7,30,3.6,4.6,78.5,4.6,10,1.7,0.6,3.8,40,0,19.92,26,John Wall,PG,Washington Wizards,"$14,746,000 "
30,Marc Gasol,MEM,,,C,81,33.2,17.4,6.5,13.2,49.4,0,0.2,17.6,4.3,5.4,79.5,7.8,3.8,0.9,1.6,2.2,20,0,21.73,16,Marc Gasol,C,Memphis Grizzlies,"$15,829,688 "
31,Kemba Walker,CHA,,,PG,62,34.2,17.3,6.1,15.8,38.5,1.4,4.5,30.4,3.8,4.6,82.7,3.5,5.1,1.4,0.5,1.6,4,0,17.66,199,Kemba Walker,PG,Charlotte Hornets,"$3,272,091 "
32,Dirk Nowitzki,DAL,,,F,77,29.6,17.3,6.3,13.8,45.9,1.4,3.6,38,3.3,3.8,88.2,5.9,1.9,0.5,0.4,1.1,6,0,19.26,81,Dirk Nowitzki,F,Dallas Mavericks,"$7,974,482 "
33,Brook Lopez,BKN,,,C,72,29.2,17.2,7,13.7,51.3,0,0.1,10,3.1,3.8,81.4,7.4,0.7,0.6,1.8,1.4,17,0,22.76,18,Brook Lopez,C,Brooklyn Nets,"$15,719,062 "
34,Tobias Harris,ORL,,,PF,68,34.8,17.1,6.5,14,46.6,1.3,3.5,36.4,2.8,3.6,78.8,6.3,1.8,1,0.5,1.7,11,0,16.76,245,Tobias Harris,PF,Orlando Magic,"$2,380,594 "
35,Eric Bledsoe,PHX,,,SG,81,34.6,17,5.8,12.9,44.7,1.1,3.4,32.4,4.4,5.4,80,5.2,6.1,1.6,0.6,3.4,13,2,18.47,31,Eric Bledsoe,SG,Phoenix Suns,"$13,000,000 "
36,Brandon Knight,MIL,PHX,,PG,63,32.3,17,6,14.1,42.2,2,5.1,38.9,3.1,3.5,87.4,3.9,5.2,1.4,0.2,3,2,0,17.17,182,Brandon Knight,PG,Phoenix Suns,"$3,553,917 "
