RK_x,Player Name,Club1,Club2,Club3,POS_x,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,REB,AST,STL,BLK,TO,DD2,TD3,PER,RK_y,NAME,POS_y,TEAM,SALARY
1,Russell Westbrook,OKC,,,PG,81,34.6,31.6,10.2,24,42.5,2.5,7.2,34.3,8.8,10.4,84.5,10.7,10.4,1.6,0.4,5.4,62,42,30.7,5,Russell Westbrook,PG,Oklahoma City Thunder,"$26,540,100 "
2,James Harden,HOU,,,SG,81,36.4,29.1,8.3,18.9,44,3.2,9.3,34.7,9.2,10.9,84.7,8.1,11.2,1.5,0.5,5.7,64,22,27.43,3,James Harden,SG,Houston Rockets,"$26,540,100 "
3,Isaiah Thomas,BOS,,,G,76,33.8,28.9,9,19.4,46.3,3.2,8.5,37.9,7.8,8.5,90.9,2.7,5.9,0.9,0.2,2.8,5,0,26.59,148,Isaiah Thomas,G,Boston Celtics,"$6,587,132 "
4,Anthony Davis,NO,,,PF,75,36.1,28,10.3,20.3,50.5,0.5,1.8,29.9,6.9,8.6,80.2,11.8,2.1,1.3,2.2,2.4,49,0,27.59,19,Anthony Davis,PF,New Orleans Pelicans,"$22,116,750 "
5,DeMar DeRozan,TOR,,,SF,74,35.4,27.3,9.7,20.9,46.7,0.4,1.7,26.6,7.4,8.7,84.2,5.2,3.9,1.1,0.2,2.4,5,0,24.09,6,DeMar DeRozan,SF,Toronto Raptors,"$26,540,100 "
6,Damian Lillard,POR,,,PG,75,35.9,27,8.8,19.8,44.4,2.9,7.7,37,6.5,7.3,89.5,4.9,5.9,0.9,0.3,2.6,11,0,24.15,10,Damian Lillard,PG,Portland Trail Blazers,"$24,328,425 "
7,DeMarcus Cousins,SAC,NO,,C,72,34.2,27,9,19.9,45.2,1.8,5,36.1,7.2,9.3,77.2,11,4.6,1.4,1.3,3.7,46,2,25.84,45,DeMarcus Cousins,C,New Orleans Pelicans,"$16,957,900 "
8,LeBron James,CLE,,,SF,74,37.8,26.4,9.9,18.2,54.8,1.7,4.6,36.3,4.8,7.2,67.4,8.6,8.7,1.2,0.6,4.1,42,13,27.11,1,LeBron James,SF,Cleveland Cavaliers,"$30,963,450 "
9,Kawhi Leonard,SA,,,SF,74,33.4,25.5,8.6,17.7,48.5,2,5.2,38,6.3,7.2,88,5.8,3.5,1.8,0.7,2.1,9,0,27.62,35,Kawhi Leonard,SF,San Antonio Spurs,"$17,638,063 "
10,Stephen Curry,GS,,,PG,79,33.4,25.3,8.5,18.3,46.8,4.1,10,41.1,4.1,4.6,89.8,4.5,6.6,1.8,0.2,3,9,0,24.74,82,Stephen Curry,PG,Golden State Warriors,"$12,112,359 "
11,Kyrie Irving,CLE,,,PG,72,35.1,25.2,9.3,19.7,47.3,2.5,6.1,40.1,4.1,4.6,90.5,3.2,5.8,1.2,0.3,2.5,8,0,23.09,34,Kyrie Irving,PG,Cleveland Cavaliers,"$17,638,063 "
12,Karl-Anthony Towns,MIN,,,C,82,37,25.1,9.8,18,54.2,1.2,3.4,36.7,4.3,5.2,83.2,12.3,2.7,0.7,1.3,2.6,62,1,26,168,Karl-Anthony Towns,C,Minnesota Timberwolves,"$5,960,160 "
13,Kevin Durant,GS,,,PF,62,33.4,25.1,8.9,16.5,53.7,1.9,5,37.5,5.4,6.2,87.5,8.3,4.8,1.1,1.6,2.2,23,1,27.68,4,Kevin Durant,PF,Golden State Warriors,"$26,540,100 "
14,Jimmy Butler,CHI,,,SF,76,37,23.9,7.5,16.5,45.5,1.2,3.3,36.7,7.7,8.9,86.5,6.2,5.5,1.9,0.4,2.1,15,2,25.19,36,Jimmy Butler,SF,Chicago Bulls,"$17,552,209 "
15,Paul George,IND,,,SG,75,35.9,23.7,8.3,18,46.1,2.6,6.6,39.3,4.5,5,89.8,6.6,3.3,1.6,0.4,2.9,11,0,20.3,32,Paul George,SG,Indiana Pacers,"$18,314,532 "
16,Andrew Wiggins,MIN,,,SF,82,37.2,23.6,8.6,19.1,45.2,1.3,3.5,35.6,5,6.6,76,4,2.3,1,0.4,2.3,1,0,16.62,162,Andrew Wiggins,SF,Minnesota Timberwolves,"$6,006,600 "
17,Kemba Walker,CHA,,,PG,79,34.7,23.2,8.1,18.3,44.4,3,7.6,39.9,3.8,4.5,84.7,3.9,5.5,1.1,0.3,2.1,8,0,21.41,86,Kemba Walker,PG,Charlotte Hornets,"$12,000,000 "
18,John Wall,WSH,,,PG,78,36.4,23.1,8.3,18.4,45.1,1.1,3.5,32.7,5.4,6.8,80.1,4.2,10.7,2,0.6,4.1,50,0,23.28,44,John Wall,PG,Washington Wizards,"$16,957,900 "
19,Bradley Beal,WSH,,,SG,77,34.9,23.1,8.3,17.2,48.2,2.9,7.2,40.4,3.7,4.4,82.5,3.1,3.5,1.1,0.3,2,1,0,20.21,15,Bradley Beal,SG,Washington Wizards,"$22,116,750 "
20,CJ McCollum,POR,,,SG,80,35,23,8.7,18,48,2.3,5.5,42.1,3.4,3.7,91.2,3.6,3.6,0.9,0.5,2.2,1,0,19.99,246,CJ McCollum,SG,Portland Trail Blazers,"$3,219,579 "
21,Giannis Antetokounmpo,MIL,,,PF,80,35.6,22.9,8.2,15.7,52.1,0.6,2.3,27.2,5.9,7.7,77,8.8,5.4,1.6,1.9,2.9,32,3,26.13,254,Giannis Antetokounmpo,PF,Milwaukee Bucks,"$2,995,421 "
22,Carmelo Anthony,NY,,,PF,74,34.3,22.4,8.1,18.8,43.3,2,5.7,35.9,4.1,4.9,83.3,5.9,2.9,0.8,0.4,2.1,7,0,17.96,9,Carmelo Anthony,PF,New York Knicks,"$24,559,380 "
23,Kyle Lowry,TOR,,,PG,60,37.4,22.4,7.1,15.3,46.4,3.2,7.8,41.2,5,6.1,81.9,4.8,7,1.5,0.3,2.9,11,1,22.92,87,Kyle Lowry,PG,Toronto Raptors,"$12,000,000 "
24,Klay Thompson,GS,,,SG,78,34,22.3,8.3,17.6,46.8,3.4,8.3,41.4,2.4,2.8,85.3,3.7,2.1,0.8,0.5,1.6,0,0,17.53,46,Klay Thompson,SG,Golden State Warriors,"$16,663,575 "
25,Devin Booker,PHX,,,SG,78,35,22.1,7.8,18.3,42.3,1.9,5.2,36.3,4.7,5.7,83.2,3.2,3.4,0.9,0.3,3.1,0,0,14.64,291,Devin Booker,SG,Phoenix Suns,"$2,223,600 "
26,Gordon Hayward,UTAH,,,SF,73,34.5,21.9,7.5,15.8,47.1,2,5.1,39.8,5,5.9,84.4,5.4,3.5,1,0.3,1.9,2,0,22.23,48,Gordon Hayward,SF,Utah Jazz,"$16,073,140 "
