RK_x,Player Name,Club1,Club2,Club3,POS_x,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,REB,AST,STL,BLK,TO,DD2,TD3,PER,RK_y,NAME,POS_y,TEAM,SALARY
1,Stephen Curry,GS,,,PG,63,34.2,32,10.4,21.7,48.2,5.3,12.7,42.1,5.7,6.3,91.6,5.5,5.8,1.2,0.1,3.4,8,0,26.37,1,Stephen Curry,PG,Golden State Warriors,"$43,006,362 "
2,Bradley Beal,WSH,,,SG,60,35.8,31.3,11.2,23,48.5,2.2,6.2,34.9,6.8,7.7,88.9,4.7,4.4,1.2,0.4,3.1,4,0,22.81,31,Bradley Beal,SG,Washington Wizards,"$28,751,775 "
3,Damian Lillard,POR,,,PG,67,35.8,28.8,9,19.9,45.1,4.1,10.5,39.1,6.7,7.2,92.8,4.2,7.5,0.9,0.3,3,16,0,25.65,18,Damian Lillard,PG,Portland Trail Blazers,"$31,626,953 "
4,Joel Embiid,PHI,,,C,51,31.1,28.5,9,17.6,51.3,1.1,3,37.7,9.2,10.7,85.9,10.6,2.8,1,1.4,3.1,31,0,30.32,24,Joel Embiid,C,Philadelphia 76ers,"$29,542,010 "
5,Giannis Antetokounmpo,MIL,,,PF,61,33,28.1,10.3,18,56.9,1.1,3.6,30.3,6.5,9.5,68.5,11,5.9,1.2,1.2,3.4,41,7,29.24,36,Giannis Antetokounmpo,PF,Milwaukee Bucks,"$27,528,090 "
6,Luka Doncic,DAL,,,PG,66,34.3,27.7,9.8,20.5,47.9,2.9,8.3,35,5.2,7.1,73,8,8.6,1,0.5,4.3,26,11,25.33,158,Luka Doncic,PG,Dallas Mavericks,"$8,049,360 "
7,Zach LaVine,CHI,,,SG,58,35.1,27.4,9.8,19.4,50.7,3.4,8.2,41.9,4.4,5.1,84.9,5,4.9,0.8,0.5,3.5,3,0,21.62,54,Zach LaVine,SG,Chicago Bulls,"$19,500,000 "
8,Zion Williamson,NO,,,PF,61,33.2,27,10.4,17,61.1,0.2,0.6,29.4,6,8.7,69.8,7.2,3.7,0.9,0.6,2.7,14,0,27.17,125,Zion Williamson,PF,New Orleans Pelicans,"$10,245,480 "
9,Kevin Durant,BKN,,,PF,35,33.1,26.9,9.3,17.2,53.7,2.4,5.4,45,6,6.8,88.2,7.1,5.6,0.7,1.3,3.4,12,0,26.44,6,Kevin Durant,PF,Brooklyn Nets,"$40,108,950 "
10,Kyrie Irving,BKN,,,PG,54,34.9,26.9,10.2,20.1,50.6,2.8,7,40.2,3.7,4,92.2,4.8,6,1.4,0.7,2.4,8,0,24.51,17,Kyrie Irving,PG,Brooklyn Nets,"$31,742,000 "
11,Jayson Tatum,BOS,,,SF,64,35.8,26.4,9.5,20.6,45.9,2.9,7.6,38.6,4.6,5.3,86.8,7.4,4.3,1.2,0.5,2.7,15,1,21.32,129,Jayson Tatum,SF,Boston Celtics,"$9,897,120 "
12,Donovan Mitchell,UTAH,,,SG,53,33.4,26.4,9,20.6,43.8,3.4,8.7,38.6,5,6,84.5,4.4,5.2,1,0.3,2.8,2,0,21.39,207,Donovan Mitchell,SG,Utah Jazz,"$5,195,501 "
13,Nikola Jokic,DEN,,,C,72,34.6,26.4,10.2,18,56.6,1.3,3.3,38.8,4.8,5.5,86.8,10.8,8.3,1.3,0.7,3.1,60,16,31.36,26,Nikola Jokic,C,Denver Nuggets,"$29,542,010 "
14,Devin Booker,PHX,,,SG,67,33.9,25.6,9.3,19.2,48.4,1.9,5.5,34,5.1,5.9,86.7,4.2,4.3,0.8,0.2,3.1,1,0,19.33,28,Devin Booker,SG,Phoenix Suns,"$29,467,800 "
15,Trae Young,ATL,,,PG,63,33.7,25.3,7.7,17.7,43.8,2.2,6.3,34.3,7.7,8.7,88.6,3.9,9.4,0.8,0.2,4.1,28,0,23.05,182,Trae Young,PG,Atlanta Hawks,"$6,571,800 "
16,De'Aaron Fox,SAC,,,PG,58,35.1,25.2,9.1,19.1,47.7,1.8,5.5,32.2,5.2,7.2,71.9,3.5,7.2,1.5,0.5,3,11,0,20.74,157,De'Aaron Fox,PG,Sacramento Kings,"$8,099,627 "
17,LeBron James,LAL,,,SF,45,33.4,25,9.4,18.3,51.3,2.3,6.3,36.5,4,5.7,69.8,7.7,7.8,1.1,0.6,3.7,18,5,24.32,7,LeBron James,SF,Los Angeles Lakers,"$39,219,565 "
18,Kawhi Leonard,LAC,,,SF,52,34.1,24.8,8.9,17.5,51.2,1.9,4.9,39.8,5,5.7,88.5,6.5,5.2,1.6,0.4,2,9,0,26.09,13,Kawhi Leonard,SF,LA Clippers,"$34,379,100 "
19,Karl-Anthony Towns,MIN,,,C,50,33.8,24.8,8.5,17.5,48.6,2.4,6.3,38.7,5.3,6.2,85.9,10.6,4.5,0.8,1.1,3.2,33,0,23.13,29,Karl-Anthony Towns,C,Minnesota Timberwolves,"$29,467,800 "
20,Jaylen Brown,BOS,,,SG,58,34.5,24.7,9.3,19.2,48.4,2.8,7.1,39.7,3.3,4.3,76.4,6,3.4,1.2,0.6,2.7,10,0,19.95,46,Jaylen Brown,SG,Boston Celtics,"$23,735,118 "
21,James Harden,BKN,HOU,,SG,44,36.6,24.6,7.8,16.7,46.6,2.8,7.6,36.2,6.3,7.3,86.1,7.9,10.8,1.2,0.8,4,32,12,24.58,4,James Harden,SG,Brooklyn Nets,"$41,254,920 "
22,Collin Sexton,CLE,,,PG,60,35.3,24.3,8.8,18.4,47.5,1.6,4.4,37.1,5.2,6.4,81.5,3.1,4.4,1,0.2,2.8,1,0,18.06,220,Collin Sexton,PG,Cleveland Cavaliers,"$4,991,880 "
23,Julius Randle,NY,,,PF,71,37.6,24.1,8.5,18.6,45.6,2.3,5.5,41.1,4.9,6,81.1,10.2,6,0.9,0.3,3.4,41,6,19.73,59,Julius Randle,PF,New York Knicks,"$18,900,000 "
24,Brandon Ingram,NO,,,SF,61,34.3,23.8,8.4,18,46.6,2.3,6.1,38.1,4.6,5.2,87.8,4.9,4.9,0.7,0.6,2.5,4,0,19.24,40,Brandon Ingram,SF,New Orleans Pelicans,"$27,285,000 "
25,Shai Gilgeous-Alexander,OKC,,,PG,35,33.7,23.7,8.2,16.1,50.8,2,4.9,41.8,5.3,6.5,80.8,4.7,5.9,0.8,0.7,3,3,0,21.67,238,Shai Gilgeous-Alexander,PG,Oklahoma City Thunder,"$4,141,320 "
26,Nikola Vucevic,CHI,ORL,,C,70,33.5,23.4,9.5,19.9,47.7,2.5,6.3,40,1.9,2.2,84,11.7,3.8,0.9,0.7,1.8,48,2,22.95,42,Nikola Vucevic,C,Chicago Bulls,"$26,000,000 "
27,Paul George,LAC,,,SG,54,33.7,23.3,8.2,17.6,46.7,3.2,7.7,41.1,3.7,4.2,86.8,6.6,5.2,1.1,0.4,3.3,9,0,20.6,8,Paul George,SG,LA Clippers,"$35,450,412 "
28,CJ McCollum,POR,,,SG,47,34,23.1,8.6,18.8,45.8,3.6,8.9,40.2,2.3,2.8,81.2,3.9,4.7,0.9,0.4,1.4,2,0,20.81,30,CJ McCollum,SG,Portland Trail Blazers,"$29,354,152 "
29,Jerami Grant,DET,,,SF,54,33.9,22.3,7.4,17.3,42.9,2.1,6.1,35,5.4,6.4,84.5,4.6,2.8,0.6,1.1,2,3,0,16.98,56,Jerami Grant,SF,Detroit Pistons,"$19,050,000 "
30,Russell Westbrook,WSH,,,PG,65,36.4,22.2,8.4,19,43.9,1.3,4.2,31.5,4.2,6.4,65.6,11.5,11.7,1.4,0.4,4.8,59,38,19.52,3,Russell Westbrook,PG,Washington Wizards,"$41,358,814 "
31,Anthony Davis,LAL,,,PF,36,32.3,21.8,8.4,17,49.1,0.7,2.8,26,4.4,5.9,73.8,7.9,3.1,1.3,1.6,2.1,12,0,22.16,16,Anthony Davis,PF,Los Angeles Lakers,"$32,742,000 "
32,DeMar DeRozan,SA,,,SF,61,33.7,21.6,7.5,15.1,49.5,0.3,1.2,25.7,6.3,7.2,88,4.2,6.9,0.9,0.2,2,13,0,22.04,35,DeMar DeRozan,SF,San Antonio Spurs,"$27,739,975 "
33,Jimmy Butler,MIA,,,SF,52,33.6,21.5,7,14.2,49.7,0.5,2,24.5,6.9,8,86.3,6.9,7.1,2.1,0.3,2.1,17,4,26.57,12,Jimmy Butler,SF,Miami Heat,"$34,379,100 "
34,Pascal Siakam,TOR,,,PF,56,35.8,21.4,7.8,17.2,45.5,1.3,4.4,29.7,4.4,5.4,82.7,7.2,4.5,1.1,0.7,2.3,13,1,17.77,20,Pascal Siakam,PF,Toronto Raptors,"$30,559,200 "
35,Jamal Murray,DEN,,,PG,48,35.5,21.2,7.9,16.5,47.7,2.7,6.6,40.8,2.8,3.2,86.9,4,4.8,1.3,0.3,2.3,1,0,18.33,39,Jamal Murray,PG,Denver Nuggets,"$27,285,000 "
36,Malcolm Brogdon,IND,,,PG,56,34.5,21.2,7.9,17.5,45.3,2.6,6.7,38.8,2.7,3.2,86.4,5.3,5.9,0.9,0.3,2.1,6,0,17.97,51,Malcolm Brogdon,PG,Indiana Pacers,"$20,700,000 "
37,Christian Wood,HOU,,,C,41,32.3,21,8,15.6,51.4,1.9,5,37.4,3,4.8,63.1,9.6,1.7,0.8,1.2,2,19,0,20.06,94,Christian Wood,C,Houston Rockets,"$13,015,873 "
38,John Wall,HOU,,,PG,40,32.2,20.6,7.3,18.2,40.4,2,6.2,31.7,4,5.3,74.9,3.2,6.9,1.1,0.8,3.5,7,1,15.46,5,John Wall,PG,Houston Rockets,"$41,254,920 "
39,Terry Rozier,CHA,,,SG,69,34.5,20.4,7.4,16.4,45,3.2,8.3,38.9,2.4,2.9,81.7,4.4,4.2,1.3,0.4,1.9,5,0,17.15,58,Terry Rozier,SG,Charlotte Hornets,"$18,900,000 "
40,Khris Middleton,MIL,,,SF,68,33.4,20.4,7.5,15.8,47.6,2.2,5.4,41.4,3.1,3.5,89.8,6,5.4,1.1,0.1,2.6,10,0,18.3,15,Khris Middleton,SF,Milwaukee Bucks,"$33,051,724 "
41,Domantas Sabonis,IND,,,PF,62,36,20.3,7.8,14.6,53.5,0.8,2.6,32.1,3.9,5.3,73.2,12,6.7,1.2,0.5,3.4,48,9,20.64,52,Domantas Sabonis,PF,Indiana Pacers,"$19,800,000 "
42,Caris LeVert,IND,BKN,HOU,SG,47,31.6,20.2,7.6,17.3,44.1,1.8,5.5,32.6,3.1,3.8,81.1,4.6,5.2,1.4,0.6,2.2,6,0,17.85,71,Caris LeVert,SG,Indiana Pacers,"$16,203,704 "
43,Kristaps Porzingis,DAL,,,C,43,30.9,20.1,7.6,15.9,47.6,2.3,6,37.6,2.7,3.2,85.5,8.9,1.6,0.5,1.3,1.2,16,0,21.33,27,Kristaps Porzingis,C,Dallas Mavericks,"$29,467,800 "
44,Victor Oladipo,IND,MIA,HOU,SG,33,32.7,19.8,7.1,17.5,40.8,2.4,7.2,32.6,3.2,4.2,75.4,4.8,4.6,1.4,0.4,2.5,0,0,14.4,50,Victor Oladipo,SG,Miami Heat,"$21,000,000 "
45,Gordon Hayward,CHA,,,SF,44,34,19.6,7.1,15,47.3,1.9,4.7,41.5,3.5,4.2,84.3,5.9,4.1,1.2,0.3,2.1,2,0,17.65,33,Gordon Hayward,SF,Charlotte Hornets,"$28,500,000 "
46,Fred VanVleet,TOR,,,SG,52,36.5,19.6,6.5,16.7,38.9,3.3,9.2,36.6,3.3,3.7,88.5,4.2,6.3,1.7,0.7,1.8,5,0,16.88,49,Fred VanVleet,SG,Toronto Raptors,"$21,250,000 "
47,Malik Beasley,MIN,,,SG,37,32.8,19.6,7.1,16.2,44,3.5,8.7,39.9,1.8,2.2,85,4.4,2.4,0.8,0.2,1.6,0,0,14.69,92,Malik Beasley,SG,Minnesota Timberwolves,"$13,425,895 "
48,Tobias Harris,PHI,,,PF,62,32.5,19.5,7.6,14.9,51.2,1.3,3.4,39.4,2.9,3.3,89.2,6.8,3.5,0.9,0.8,1.7,11,0,20.02,14,Tobias Harris,PF,Philadelphia 76ers,"$34,358,850 "
49,Anthony Edwards,MIN,,,SF,72,32.1,19.3,7,16.8,41.7,2.4,7.2,32.9,2.9,3.8,77.6,4.7,2.9,1.1,0.5,2.2,3,0,13.95,130,Anthony Edwards,SF,Minnesota Timberwolves,"$9,757,440 "
50,Kemba Walker,BOS,,,PG,43,31.8,19.3,6.6,15.7,42,3,8.2,36,3.1,3.5,89.9,4,4.9,1.1,0.3,2,0,0,17.72,11,Kemba Walker,PG,Boston Celtics,"$34,379,100 "
51,Ja Morant,MEM,,,PG,63,32.6,19.1,6.8,15.2,44.9,1.2,3.8,30.3,4.3,5.9,72.8,4,7.4,0.9,0.2,3.2,14,1,16.81,145,Ja Morant,PG,Memphis Grizzlies,"$9,166,800 "
52,Michael Porter Jr.,DEN,,,SF,61,31.3,19,7.3,13.4,54.2,2.8,6.3,44.5,1.7,2.2,79.1,7.3,1.1,0.7,0.9,1.3,15,0,20.63,265,Michael Porter Jr.,SF,Denver Nuggets,"$3,550,800 "
53,D'Angelo Russell,MIN,,,PG,42,28.5,19,6.7,15.5,43.1,2.9,7.4,38.7,2.7,3.5,76.5,2.6,5.8,1.1,0.4,2.7,6,0,17.63,32,D'Angelo Russell,PG,Minnesota Timberwolves,"$28,649,250 "
54,Bam Adebayo,MIA,,,C,64,33.5,18.7,7.1,12.5,57,0,0.1,25,4.4,5.5,79.9,9,5.4,1.2,1,2.6,33,2,22.76,209,Bam Adebayo,C,Miami Heat,"$5,115,492 "
55,Norman Powell,POR,TOR,,SF,69,32,18.6,6.3,13.3,47.7,2.5,6,41.1,3.4,3.9,87.1,3.1,1.9,1.2,0.3,1.7,0,0,16.29,121,Norman Powell,SF,Portland Trail Blazers,"$10,865,952 "
56,Andrew Wiggins,GS,,,SF,71,33.3,18.6,7.1,14.9,47.7,2,5.2,38,2.4,3.4,71.4,4.9,2.4,0.9,1,1.8,3,0,15.05,25,Andrew Wiggins,SF,Golden State Warriors,"$29,542,010 "
57,Jordan Clarkson,UTAH,,,PG,68,26.7,18.4,6.7,15.8,42.5,3.1,8.8,34.7,1.9,2.1,89.6,4,2.5,0.9,0.1,1.7,0,0,17.2,114,Jordan Clarkson,PG,Utah Jazz,"$11,500,000 "
58,Eric Gordon,HOU,,,SG,27,29.2,17.8,5.9,13.6,43.3,2.6,7.8,32.9,3.5,4.2,82.5,2.1,2.6,0.5,0.5,1.9,0,0,14.46,69,Eric Gordon,SG,Houston Rockets,"$16,869,276 "
59,Jrue Holiday,MIL,,,PG,59,32.3,17.7,7,13.9,50.3,1.9,4.8,39.2,1.8,2.3,78.7,4.5,6.1,1.6,0.6,2.2,10,0,20.05,41,Jrue Holiday,PG,Milwaukee Bucks,"$26,231,111 "
60,John Collins,ATL,,,PF,63,29.3,17.6,6.8,12.2,55.6,1.3,3.3,39.9,2.7,3.2,83.3,7.4,1.2,0.5,1,1.3,16,0,20.67,239,John Collins,PF,Atlanta Hawks,"$4,137,302 "
61,RJ Barrett,NY,,,SG,72,34.9,17.6,6.5,14.7,44.1,1.7,4.3,40.1,2.9,3.8,74.6,5.8,3,0.7,0.3,1.9,5,0,13.5,155,RJ Barrett,SG,New York Knicks,"$8,231,760 "
62,Darius Garland,CLE,,,PG,54,33.1,17.4,6.7,14.9,45.1,1.9,4.9,39.5,2.1,2.4,84.8,2.4,6.1,1.2,0.1,3,6,0,14.24,180,Darius Garland,PG,Cleveland Cavaliers,"$6,720,720 "
63,Kyle Lowry,TOR,,,PG,46,34.8,17.2,5.7,13,43.6,2.8,7.2,39.6,3,3.5,87.5,5.4,7.3,1,0.3,2.7,9,2,16.49,22,Kyle Lowry,PG,Toronto Raptors,"$30,500,000 "
64,Dillon Brooks,MEM,,,SF,67,29.8,17.2,6.4,15.4,41.9,1.9,5.6,34.4,2.4,2.9,81.5,2.9,2.3,1.2,0.4,1.8,0,0,12.19,116,Dillon Brooks,SF,Memphis Grizzlies,"$11,400,000 "
65,Evan Fournier,BOS,ORL,,SG,42,30,17.1,5.9,12.9,45.7,2.8,6.7,41.3,2.6,3.3,78.8,3,3.4,1.1,0.5,1.7,0,0,16.75,66,Evan Fournier,SG,Boston Celtics,"$17,150,000 "
66,Jonas Valanciunas,MEM,,,C,62,28.3,17.1,7.1,12,59.2,0.3,0.9,36.8,2.5,3.3,77.3,12.5,1.8,0.6,0.9,1.6,49,0,24.47,80,Jonas Valanciunas,C,Memphis Grizzlies,"$15,000,000 "
67,Bojan Bogdanovic,UTAH,,,SF,72,30.8,17,5.6,12.8,43.9,2.5,6.4,39,3.2,3.7,87.9,3.9,1.9,0.6,0.1,1.8,0,0,14.03,65,Bojan Bogdanovic,SF,Utah Jazz,"$17,850,000 "
